arquivo,pasta,condicao,nivel,espiras,alfa,numero,ordem,bloco,sha256,campanha
p1001.bmp,p1_Noload,Healthy,0,0,0.0,1,0,0,58f27d307e5e28f038f75d47a28528409021f6ce0103395399370a2057938778,A
p1002.bmp,p1_Noload,Healthy,0,0,0.0,2,1,0,f885527a57548cb28fa85cae9f77dce1fafc204d96b9af69f15981804bf11186,A
p1003.bmp,p1_Noload,Healthy,0,0,0.0,3,2,0,dad65b1160d08b161543a60d2ee1aded4ad5b5d6ab8d5456bd05d25fe858f8e3,A
p1004.bmp,p1_Noload,Healthy,0,0,0.0,4,3,0,858b83aeaeff1c92b70cf420f5d54cff6618613f88e3bfb8bc43ab05812f7df5,A
p1005.bmp,p1_Noload,Healthy,0,0,0.0,5,4,0,eec8dca1b26e806164c42cee1d69b219c986e489dbfc0602c914fb62de799827,A
p1006.bmp,p1_Noload,Healthy,0,0,0.0,6,5,1,224f60c41563f15087fee7177fdbd601265c5ba4de26dda5e3e220c15bc537cf,A
p1007.bmp,p1_Noload,Healthy,0,0,0.0,7,6,1,697e6c3f342c955c9ccbe7649f18cc28934dfadfd8581a54f765d88200695dfc,A
p1008.bmp,p1_Noload,Healthy,0,0,0.0,8,7,1,ac03e057351501de9fc7b235c9cd5a673e47c8defed8c7a057d671f7f2afa499,A
p1009.bmp,p1_Noload,Healthy,0,0,0.0,9,8,1,e07e91b4133d2620602b0a7b09e06912f027647ed006e6a4aa67bd7a4a388930,A
p1010.bmp,p1_Noload,Healthy,0,0,0.0,10,9,1,a6ea0b4f7f0f961523a13d00446d878732c9967c40f56a5ee6e017915255c239,A
p1011.bmp,p1_Noload,Healthy,0,0,0.0,11,10,2,cbfcb6f6c9cc29df4cc9a7b300f6b0ec7b837c1b36376c6084158ca322685779,A
p1012.bmp,p1_Noload,Healthy,0,0,0.0,12,11,2,f5dd5b31569666cb2149abcc08838526dafec2f928cd548869e1c1fa33024273,A
p1013.bmp,p1_Noload,Healthy,0,0,0.0,13,12,2,ebf8c9d66f334aeed1b2f305542277121e102dcf8c5a660f16f6439c091a5315,A
p1014.bmp,p1_Noload,Healthy,0,0,0.0,14,13,2,adce5d21d2265705f4c11dc55c815ff9073e633105eedb18375e16fe97b867a1,A
p1015.bmp,p1_Noload,Healthy,0,0,0.0,15,14,3,9ad1825a44ed6d8696782307dd4a02d2b5d51696a8385a0c5c637b5e5664cf10,A
p1016.bmp,p1_Noload,Healthy,0,0,0.0,16,15,3,e87eb041b0d885599f83a3b435b150afc7bedfa5d137b8b202b06d33360a6e65,A
p1017.bmp,p1_Noload,Healthy,0,0,0.0,17,16,3,9ca6770e988d8b8765e16963ffef2303841229edd7b7d495613bc4055737775f,A
