arquivo,backend,aprovado,falhas,alertas,recomendacao
p1001.bmp,deterministico,True,0,0,fora_do_dominio
p1002.bmp,deterministico,True,0,0,sem_indicio
p1003.bmp,deterministico,True,0,0,sem_indicio
p1004.bmp,deterministico,True,0,0,sem_indicio
p1005.bmp,deterministico,True,0,0,sem_indicio
p1006.bmp,deterministico,True,0,0,sem_indicio
p1007.bmp,deterministico,True,0,0,sem_indicio
p1008.bmp,deterministico,True,0,0,sem_indicio
p1009.bmp,deterministico,True,0,0,sem_indicio
p1010.bmp,deterministico,True,0,0,sem_indicio
p1011.bmp,deterministico,True,0,0,sem_indicio
p1012.bmp,deterministico,True,0,0,sem_indicio
p1013.bmp,deterministico,True,0,0,sem_indicio
p1014.bmp,deterministico,True,0,0,sem_indicio
p1015.bmp,deterministico,True,0,0,sem_indicio
p1016.bmp,deterministico,True,0,0,sem_indicio
p1017.bmp,deterministico,True,0,0,fora_do_dominio
p1018.bmp,deterministico,True,0,0,sem_indicio
p1019.bmp,deterministico,True,0,0,sem_indicio
p1020.bmp,deterministico,True,0,0,sem_indicio
p1021.bmp,deterministico,True,0,0,sem_indicio
p1022.bmp,deterministico,True,0,0,sem_indicio
p2001.bmp,deterministico,True,0,0,baixa
p2002.bmp,deterministico,True,0,0,fora_do_dominio
p2003.bmp,deterministico,True,0,0,baixa
p2004.bmp,deterministico,True,0,0,baixa
p2005.bmp,deterministico,True,0,0,baixa
p2006.bmp,deterministico,True,0,0,baixa
p2007.bmp,deterministico,True,0,0,baixa
p2008.bmp,deterministico,True,0,0,baixa
p2009.bmp,deterministico,True,0,0,baixa
p2010.bmp,deterministico,True,0,0,baixa
p2011.bmp,deterministico,True,0,0,baixa
p2012.bmp,deterministico,True,0,0,baixa
p2013.bmp,deterministico,True,0,0,baixa
p2014.bmp,deterministico,True,0,0,baixa
p2015.bmp,deterministico,True,0,0,baixa
p2016.bmp,deterministico,True,0,0,baixa
p2017.bmp,deterministico,True,0,0,baixa
p2018.bmp,deterministico,True,0,0,baixa
p2019.bmp,deterministico,True,0,0,baixa
p2020.bmp,deterministico,True,0,0,baixa
p2021.bmp,deterministico,True,0,0,baixa
p2022.bmp,deterministico,True,0,0,baixa
p2023.bmp,deterministico,True,0,0,baixa
p2024.bmp,deterministico,True,0,0,fora_do_dominio
p2025.bmp,deterministico,True,0,0,baixa
p2026.bmp,deterministico,True,0,0,baixa
p3027.bmp,deterministico,True,0,0,intermediaria
p3028.bmp,deterministico,True,0,0,intermediaria
p3029.bmp,deterministico,True,0,0,intermediaria
p3030.bmp,deterministico,True,0,0,intermediaria
p3031.bmp,deterministico,True,0,0,intermediaria
p3032.bmp,deterministico,True,0,0,intermediaria
p3033.bmp,deterministico,True,0,0,intermediaria
p3034.bmp,deterministico,True,0,0,baixa
p3035.bmp,deterministico,True,0,0,intermediaria
p3036.bmp,deterministico,True,0,0,intermediaria
p3037.bmp,deterministico,True,0,0,intermediaria
p3038.bmp,deterministico,True,0,0,intermediaria
p3039.bmp,deterministico,True,0,0,intermediaria
p3040.bmp,deterministico,True,0,0,intermediaria
p3041.bmp,deterministico,True,0,0,intermediaria
p3042.bmp,deterministico,True,0,0,intermediaria
p3043.bmp,deterministico,True,0,0,intermediaria
p3044.bmp,deterministico,True,0,0,intermediaria
p3045.bmp,deterministico,True,0,0,intermediaria
p3046.bmp,deterministico,True,0,0,baixa
p3047.bmp,deterministico,True,0,0,baixa
p3048.bmp,deterministico,True,0,0,intermediaria
p3049.bmp,deterministico,True,0,0,baixa
p3050.bmp,deterministico,True,0,0,baixa
p3051.bmp,deterministico,True,0,0,intermediaria
p3052.bmp,deterministico,True,0,0,intermediaria
p3053.bmp,deterministico,True,0,0,intermediaria
p3054.bmp,deterministico,True,0,0,intermediaria
p3055.bmp,deterministico,True,0,0,intermediaria
p3056.bmp,deterministico,True,0,0,intermediaria
p3057.bmp,deterministico,True,0,0,intermediaria
p4001.bmp,deterministico,True,0,0,intermediaria
p4002.bmp,deterministico,True,0,0,intermediaria
p4003.bmp,deterministico,True,0,0,intermediaria
p4004.bmp,deterministico,True,0,0,intermediaria
p4005.bmp,deterministico,True,0,0,intermediaria
p4006.bmp,deterministico,True,0,0,intermediaria
p4007.bmp,deterministico,True,0,0,intermediaria
p4008.bmp,deterministico,True,0,0,intermediaria
p4009.bmp,deterministico,True,0,0,intermediaria
p4010.bmp,deterministico,True,0,0,intermediaria
p4011.bmp,deterministico,True,0,0,intermediaria
p4012.bmp,deterministico,True,0,0,intermediaria
p4013.bmp,deterministico,True,0,0,intermediaria
p4014.bmp,deterministico,True,0,0,intermediaria
p4015.bmp,deterministico,True,0,0,intermediaria
p4016.bmp,deterministico,True,0,0,intermediaria
p4017.bmp,deterministico,True,0,0,intermediaria
p4018.bmp,deterministico,True,0,0,intermediaria
p4019.bmp,deterministico,True,0,0,intermediaria
p4020.bmp,deterministico,True,0,0,intermediaria
p4021.bmp,deterministico,True,0,0,intermediaria
p4022.bmp,deterministico,True,0,0,intermediaria
p4023.bmp,deterministico,True,0,0,intermediaria
p4024.bmp,deterministico,True,0,0,intermediaria
p4025.bmp,deterministico,True,0,0,intermediaria
p4026.bmp,deterministico,True,0,0,intermediaria
p5027.bmp,deterministico,True,0,0,intermediaria
p5028.bmp,deterministico,True,0,0,intermediaria
p5029.bmp,deterministico,True,0,0,intermediaria
p5030.bmp,deterministico,True,0,0,intermediaria
p5031.bmp,deterministico,True,0,0,intermediaria
p5032.bmp,deterministico,True,0,0,intermediaria
p5033.bmp,deterministico,True,0,0,intermediaria
p5034.bmp,deterministico,True,0,0,intermediaria
p5035.bmp,deterministico,True,0,0,intermediaria
p5036.bmp,deterministico,True,0,0,intermediaria
p5037.bmp,deterministico,True,0,0,intermediaria
p5038.bmp,deterministico,True,0,0,intermediaria
p5039.bmp,deterministico,True,0,0,intermediaria
p5040.bmp,deterministico,True,0,0,intermediaria
p5041.bmp,deterministico,True,0,0,intermediaria
p5042.bmp,deterministico,True,0,0,intermediaria
p5043.bmp,deterministico,True,0,0,intermediaria
p5044.bmp,deterministico,True,0,0,intermediaria
p5045.bmp,deterministico,True,0,0,intermediaria
p5046.bmp,deterministico,True,0,0,intermediaria
p5047.bmp,deterministico,True,0,0,intermediaria
p5048.bmp,deterministico,True,0,0,intermediaria
p5049.bmp,deterministico,True,0,0,intermediaria
